time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
4.864,100,65.5882,34.4118,-17.6833,117.72,0.860296,2.2797,4.0003
4.896,100,66.1108,33.8892,-17.1411,-32.6674,0.847229,2.29277,3.98723
4.928,100,66.4227,33.5773,-16.6039,-19.4909,0.839433,2.30057,3.97943
4.96,100,67.189,32.811,-16.0789,-47.8955,0.820274,2.31973,3.96027
4.992,100,61.162,38.838,-15.4575,376.687,0.970949,2.16905,4.11095
5.024,100,66.7821,33.2179,-14.926,-351.255,0.830447,2.30955,3.97045
5.056,100,68.2646,31.7354,-14.4182,-92.657,0.793384,2.34662,3.93338
5.088,100,68.7804,31.2196,-13.9187,-32.2378,0.780489,2.35951,3.92049
5.12,100,58.6607,41.3393,-13.2573,632.482,1.03348,2.10652,4.17348
5.152,100,61.727,38.273,-12.6449,-191.641,0.956826,2.18317,4.09683
5.184,100,69.8055,30.1945,-12.1618,-504.906,0.754863,2.38514,3.89486
5.216,100,67.9034,32.0966,-11.6483,118.883,0.802416,2.33758,3.94242
5.248,100,67.8776,32.1224,-11.1343,1.61248,0.803061,2.33694,3.94306
5.28,100,73.1436,26.8564,-10.7046,-329.126,0.671411,2.46859,3.81141
5.312,100,71.6225,28.3775,-10.2506,95.0645,0.709437,2.43056,3.84944
5.344,100,64.7889,35.2111,-9.68717,427.104,0.880278,2.25972,4.02028
5.376,100,64.417,35.583,-9.11785,23.2391,0.889574,2.25043,4.02957
5.408,100,65.3462,34.6538,-8.56339,-58.073,0.866345,2.27366,4.00634
5.44,100,71.2306,28.7694,-8.10308,-367.772,0.719236,2.42076,3.85924
5.472,100,72.0038,27.9962,-7.65514,-48.3261,0.699906,2.44009,3.83991
5.504,100,73.1694,26.8306,-7.22585,-72.8513,0.670765,2.46923,3.81077
5.536,100,63.9456,36.0544,-6.64898,576.484,0.901359,2.23864,4.04136
5.568,100,69.9913,30.0087,-6.16884,-377.854,0.750217,2.38978,3.89022
5.6,100,68.9472,31.0528,-5.67199,65.2563,0.77632,2.36368,3.91632
5.632,100,67.5919,32.4081,-5.15346,84.7076,0.810203,2.3298,3.9502
5.664,100,74.5985,25.4015,-4.74704,-437.914,0.635037,2.50496,3.77504
5.696,100,77.8377,22.1623,-4.39244,-202.449,0.554058,2.58594,3.69406
5.728,100,82.839,17.161,-4.11786,-312.58,0.429026,2.71097,3.56903
5.76,100,84.7722,15.2278,-3.87422,-120.826,0.380695,2.7593,3.5207
5.792,100,81.6312,18.3688,-3.58032,196.313,0.459221,2.68078,3.59922
5.824,100,92.0131,7.98687,-3.45253,-648.873,0.199672,2.94033,3.33967
5.856,100,87.7088,12.2912,-3.25587,269.019,0.307279,2.83272,3.44728
5.888,100,93.3799,6.62009,-3.14995,-354.443,0.165502,2.9745,3.3055
5.92,100,96.995,3.00502,-3.10187,-225.942,0.0751256,3.06487,3.21513
5.952,100,106.224,-6.22367,-3.20145,-576.793,-0.155592,3.29559,2.98441
