time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
8.32,80,77.6848,2.31524,0,131.157,1.26722,1.87278,4.40722,-13.557
8.352,80,76.7244,3.27559,0,40.0143,0.417442,2.72256,3.55744,-13.4925
8.384,80,76.5261,3.47386,0,8.26124,0.119755,3.02025,3.25975,-13.4278
8.416,80,82.7314,-2.73138,0,-258.551,-2.47609,5.61609,0.663912,-13.3871
8.448,80,80.7915,-0.7915,0,80.8283,0.754329,2.38567,3.89433,-13.3394
8.48,80,85.6803,-5.68031,0,-203.7,-1.99313,5.13313,1.14687,-13.3105
8.512,80,81.4019,-1.40189,0,178.268,1.66781,1.47219,4.80781,-13.2657
8.544,80,77.321,2.67905,0,170.039,1.63902,1.50098,4.77902,-13.206
8.576,80,86.0573,-6.05729,0,-364.014,-3.51262,6,-0.372622,-13.1793
8.608,80,80.9835,-0.983465,0,211.409,1.98602,1.15398,5.12602,-13.134
8.64,80,75.494,4.50602,0,228.729,2.21556,0.924442,5.35556,-13.0687
8.672,80,81.9162,-1.91622,0,-267.593,-2.55175,5.69175,0.588248,-13.0275
8.704,80,78.5282,1.47177,0,141.166,1.35168,1.78832,4.49168,-12.9742
8.736,80,77.365,2.63505,0,48.47,0.489662,2.65034,3.62966,-12.917
8.768,80,77.0242,2.97582,0,14.1989,0.16989,2.97011,3.30989,-12.859
8.8,80,76.2245,3.77549,0,33.3193,0.360173,2.77983,3.50017,-12.7985
8.832,80,74.8474,5.15261,0,57.3801,0.604073,2.53593,3.74407,-12.7335
8.864,80,86.1732,-6.17318,0,-471.908,-4.53361,6,-1.39361,-12.7098
8.896,80,83.7048,-3.70483,0,102.848,0.927455,2.21255,4.06745,-12.6774
8.928,80,83.1276,-3.12757,0,24.0527,0.189767,2.95023,3.32977,-12.6432
8.96,80,81.1256,-1.12561,0,83.4149,0.774764,2.36524,3.91476,-12.602
8.992,80,80.5393,-0.539345,0,24.4276,0.224368,2.91563,3.36437,-12.5591
9.024,80,85.8858,-5.88582,0,-222.77,-2.1758,5.3158,0.964197,-12.5355
9.056,80,77.7484,2.25157,0,339.058,3.23111,-0.0911139,6.28,-12.4832
9.088,80,81.3224,-1.3224,0,-148.915,-1.42312,4.56312,1.71688,-12.4439
9.12,80,76.5499,3.45015,0,198.856,1.92059,1.21941,5.06059,-12.3881
9.152,80,80.5612,-0.561211,0,-167.14,-1.58621,4.72621,1.55379,-12.3468
9.184,80,81.9568,-1.95683,0,-58.1506,-0.573005,3.71301,2.56699,-12.3106
9.216,80,81.2699,-1.2699,0,28.6219,0.255238,2.88476,3.39524,-12.2722
9.248,80,82.5827,-2.58274,0,-54.7018,-0.547925,3.68793,2.59207,-12.2387
9.28,80,86.7244,-6.72441,0,-172.569,-1.71147,4.85147,1.42853,-12.2197
9.312,80,79.765,0.235045,0,289.977,2.74311,0.396894,5.88311,-12.1769
